accustomed 익숙한
corporation 주식회사,법인
demanding 요구가많은,힘든
colleague 동료
division 부서
request 요청
efficiently 효율적으로
manage 을경영하다,가까스로하다
submit 제출하다
directly 곧바로
remind 에게-상기시키다,일깨우다
instruct 가르치다,지시하다
deadline 마감일,마감시간
sample 표본,견본
notify 에게-통지하다,알리다
perform 행하다,실행하다,
monitor 감시하다,감독하다,검토하다
deserve 할만하다,할가치가있다
assignment 일,임무,과제
entire 전체의
release 발표하다,공개하다,발매,출시
extension 연기,연장,내선
electronically 컴퓨터통신망으로,컴퓨터로
attendance 출석,출근
absolutely 절대적으로,완전히
delegate 위임하다,대표
attentively 조심스럼게,주의깊게
supervision 감독
workshop 연수
draw 끌다,끌어당기다
revision 수정,개정
reluctantly 마지못해,꺼려하여
acquaint 에게-숙지시키다,잘알게하다
convey 전달하다
check 검사하다,확인하다,조사하다
headquarters 본사
file 정리하다,제출하다,정식으로제기하다
oversee 감독하다
concentrate 집중하다,집중시키다
involved 연관된,관련된,관여하는
lax 느슨한,규율에못미치는
procrastinate 미루다,꾸물거리다
combined 결합된,합동의
accomplish 성취하다
voluntarily 자발적으로
undertake 떠맡다
assume 사실이라고생각하다,맡다
occasionally 가끔,때때로
employee 직원,고용인
assist 돕다,조력하다
satisfied 만족하는,만족스러워하는
manner 태도,방식
responsible 책임이있는,책임져야할
conduct 수행하다
adjust 적응하다
personnel 인사과,인원,직원
agree 동의하다
supervise 감독하다,지도하다
coworker 협력자,동료
direct 에게-길을안내하다,가르쳐주다
confidential 기밀의,내밀한
assign 할당하다,배정하다
leading 선도적인,선두적인,일류의
formal 공식적인,격식을갖춘
remove 해임하다,제거하다
collect 모으다,수집하다
coordinate 조정하다
hardly 거의하지않다
abstract 추상적인
directory 주소록
accountable 책임이있는
skillfully 능숙하게,솜씨있게
exclusive 동점적인,배타적인
intention 의지,의향
transform 바꾸다,변모시키다
respectful 정중한,존중하게
duplicate 사본
