survey 설문조사
demonstration 설명,시연
raise 높이다,올리다,제기하다
extremely 극도로,대단히
analysis 분석
respondent 응답자
consecutive 연속적인
focus 집중하다,집중시키다
affect 에-영향을미치다,불리하게작용하다
target 목표,목표를삼다
campaign 운동,캠페인
probable 개연성이있는
expectation 예상,기대
publicize 공표하다,광고하다,선전하다
especially 특히
closely 면밀히,엄밀히
reserve 예약하다,지정하다,보존하다
cooperate 협력하다,협동하다
very 매우,뛰어난,아주
buy 사다,구입하다
examine 조사하다
effective 효과적인,시행되는,발효되는
efficiently 효율적으로
monopoly 독점,전매
competition 경쟁
consistently 항상,일관되게
demand 수요,요구하다
do-one’s-utmust 전력을다하다
de-one’s-best 최선을다하다 
expend 확장하다,확대하다
advanced 고급의,진보된,앞선
postpone 연기하다,뒤로미루다
additional 추가의,부가적인
appreciate 고맙게생각하다,감상하다,높게평가하다
like 좋아하다
seasonal 계절의,계절적인
impact 영향,충격
comparison 비교
gap 격차
mounting 증가하는,오르는
reflective 반영하는
