resume 이력서,이력서,이력서
requirement 필요조건,요건
opening 개장,개시,공석
applicant 신청자,지원자
meet 만족시키다
qualified 자격있는,적격
eligible 자격있는,적격
candidate 후보자,지원자
confidence 확신,자신
highly 매우,대단히
professional 전문적인,직업의,전문가
interview 면접
hire 고용하다
training 교육,학습
position 일자리,직책
achievement 성취,달성
impressed 감명을받은,인상깊게생각하는
excellent 훌륭한,탁월한
identify 알아보다,확인하다
associate 관련시키다
condition 조건
employment 고용
lack 이없다
managerial 관리의,경영의
diligent 성실한,부지런한
familiar 익숙한,친숙한
proficiency 능숙,숙달
prospective 미래의,장래의
appeal 매력적이다,관심을끌다
specialize 을전공하다,전문적으로다루다
apprehensive 걱정하는,염려하는
consultant 고문
entitle 자격을주다
degree 학위
payroll 급료명부,임금대장
recruit 모집하다
certification 증명서,증명
wage 임금,급료
attire 복장,옷차림새
code 규범,관례,암호
concern 우려,걱정,문제,일
policy 규정,보험증권
comply 준수하다,따르다
regulation 규정
exception 예외
adhere 지키다,고수하다
severely 엄격하게,심하게
refrain-from 을자제하다
permission 허락,허가
access 접근,권한,통로
thoroughly 철저하게,대단히,완전히
revise 수정하다,변경하다
approach 접근법,처리방법
approval 승인,인가
form 종류,유형,양식
immediately 즉시,곧
inspection 점검,검사
arrangement 준비,마련,주선
procedure 절차
negative 부정적인,비관적인
mandate 명령하다,지시하다,권한,지시,명령
effect 효과,효력,영향
drastically 심하게,과감하게,철저하게
according-to 에따라
enable 할수있게하다
standard 기준,표준
constant 지속적인,끊임없이계속하는
act 법령,결의서,행위,행동
compensation 보상금,보상
ban 금지
obligation 의무,책임
authorize 을인가하다,권한을부여하다
prohibit 금지하다
abolish 폐지하다
enforce 시행하다,집행하다
habit 습관,버릇
legislation 법률,법규
restrict 한정하다,제한하다
